"ID","State","MakeArt","Age","Female","White","Black","Asian","Hispanic","Education","Income","HHUnder18"
586,"TX",1,6,0,1,0,0,0,2,9,0
593,"OR",0,6,0,1,0,0,0,4,14,0
597,"CA",0,1,0,0,1,0,0,3,8,0
600,"MI",0,7,0,1,0,0,0,4,9,0
601,"OR",1,5,1,1,0,0,0,4,15,0
602,"MO",1,4,0,1,0,0,0,4,14,1
605,"ME",0,4,1,1,0,0,0,3,2,0
614,"WI",0,4,0,1,0,0,0,3,9,1
616,"MN",1,3,1,1,0,0,0,3,9,2
617,"CA",0,4,0,1,0,0,0,3,14,0
623,"VA",0,4,1,1,0,0,0,3,14,2
631,"NH",0,4,0,1,0,0,0,4,18,4
641,"FL",0,4,0,1,0,0,0,4,17,1
645,"MI",1,4,1,1,0,0,0,3,7,0
647,"GA",1,4,1,1,0,0,0,3,15,0
652,"TX",0,6,1,1,0,0,0,4,15,2
673,"NY",1,7,1,1,0,0,0,4,15,0
676,"TN",1,1,0,0,0,0,0,1,5,0
679,"MD",1,3,1,1,0,0,0,3,14,3
681,"CA",0,6,0,1,0,0,0,4,14,0
692,"MI",0,5,1,1,0,0,0,4,10,0
698,"OH",0,4,1,1,0,0,0,2,10,0
716,"OH",1,5,1,0,1,0,0,3,11,0
722,"WI",0,4,0,0,1,0,0,4,16,2
723,"IN",0,3,1,1,0,0,0,4,13,0
724,"GA",1,4,0,0,0,0,0,3,3,0
729,"MA",0,7,1,1,0,0,0,4,15,0
737,"FL",1,6,0,1,0,0,0,3,13,0
741,"CA",1,5,0,1,0,0,0,4,7,0
745,"CO",0,4,1,1,0,0,0,4,7,0
750,"CA",1,6,0,1,0,0,0,4,12,0
761,"CT",1,6,1,1,0,0,0,4,10,0
764,"IA",0,2,1,1,0,0,0,2,5,2
769,"TX",1,2,1,1,0,0,0,4,2,0
772,"WI",0,6,1,1,0,0,0,2,7,0
773,"KY",1,4,1,0,0,0,0,3,15,1
782,"CA",0,6,0,1,0,0,0,3,7,0
784,"SC",0,6,0,1,0,0,0,1,13,0
786,"OH",0,4,1,1,0,0,0,3,7,0
789,"NJ",1,6,0,0,1,0,0,3,14,1
791,"TX",0,4,0,1,0,0,0,4,14,1
795,"MD",0,4,1,0,1,0,0,4,16,0
802,"TX",0,6,0,1,0,0,0,4,13,0
805,"FL",0,5,0,0,1,0,0,2,1,0
817,"VA",1,2,0,1,0,0,0,4,3,1
823,"DE",0,3,0,1,0,0,0,3,13,2
825,"PA",0,5,1,1,0,0,0,3,7,0
827,"CO",1,2,1,1,0,0,0,3,11,0
829,"VA",0,5,1,1,0,0,0,4,13,0
834,"CO",1,3,0,1,0,0,0,3,11,1
848,"FL",0,5,1,1,0,0,0,3,14,0
849,"WA",0,3,1,0,0,0,0,4,15,0
851,"MI",0,5,1,1,0,0,0,3,14,0
852,"KY",0,4,0,1,0,0,0,4,13,0
854,"MO",0,6,0,1,0,0,0,4,14,0
855,"UT",0,3,1,1,0,0,0,2,10,4
862,"FL",0,2,1,1,0,0,0,4,12,0
873,"CA",0,6,0,0,0,1,0,4,12,0
874,"WA",0,3,0,0,1,0,0,4,13,3
876,"MI",1,5,1,1,0,0,0,4,14,0
877,"WI",1,7,1,1,0,0,0,4,12,0
882,"FL",1,5,1,1,0,0,0,3,12,0
891,"DC",0,4,1,1,0,0,0,4,15,0
893,"NY",0,5,0,0,1,0,0,4,10,0
904,"WA",0,5,0,1,0,0,0,3,10,1
913,"MN",0,5,1,1,0,0,0,2,17,0
923,"CA",1,4,0,0,0,1,0,4,13,2
927,"MA",0,6,0,1,0,0,0,4,17,2
940,"WI",0,2,1,1,0,0,0,3,9,2
942,"IN",0,5,0,1,0,0,0,2,1,0
943,"TX",0,4,1,1,0,0,0,3,10,0
944,"NJ",0,4,1,1,0,0,0,3,7,0
949,"NY",1,2,1,1,0,0,0,3,9,3
950,"CA",0,1,0,0,1,0,0,2,8,0
953,"PA",0,7,1,1,0,0,0,3,6,0
959,"NC",NA,3,1,1,0,0,0,2,7,2
973,"WV",1,4,1,1,0,0,0,2,4,1
979,"NY",1,3,0,0,1,0,0,4,10,0
982,"OH",0,6,0,1,0,0,0,4,12,2
983,"IA",0,6,1,1,0,0,0,4,10,0
984,"IL",0,6,0,1,0,0,0,4,14,0
991,"SD",1,3,1,1,0,0,0,1,3,1
993,"MI",1,5,0,1,0,0,0,2,12,0
994,"PA",NA,3,1,1,0,0,0,2,4,0
997,"TX",1,5,1,1,0,0,0,4,16,0
998,"NJ",0,1,0,0,0,1,0,4,9,0
1004,"DE",0,5,1,1,0,0,0,4,11,2
1012,"FL",0,2,0,0,1,0,0,3,8,0
1015,"CA",1,4,1,1,0,0,0,4,14,1
1016,"FL",0,7,1,1,0,0,0,3,7,0
1024,"CA",0,7,0,1,0,0,0,4,18,0
1030,"MA",0,2,0,1,0,0,0,2,9,0
1033,"WI",0,7,1,1,0,0,0,3,14,0
1035,"MI",1,3,0,1,0,0,0,4,12,0
1036,"OH",0,3,0,1,0,0,0,4,10,3
1040,"KS",1,3,1,1,0,0,0,3,12,1
1043,"TX",0,5,1,1,0,0,0,4,17,0
1045,"CT",0,6,1,1,0,0,0,3,9,0
1049,"WI",0,6,0,1,0,0,0,4,9,0
1051,"MI",0,4,0,1,0,0,0,4,18,0
1053,"MN",1,5,1,0,1,0,0,3,2,0
1060,"AZ",0,6,0,1,0,0,0,4,14,0
1063,"OH",0,2,1,1,0,0,0,4,11,0
1067,"FL",0,5,0,0,0,0,0,3,11,0
1069,"FL",0,3,0,1,0,0,0,1,4,0
1071,"WI",0,3,0,1,0,0,0,3,5,1
1074,"NM",0,4,1,1,0,0,0,3,15,1
1084,"NY",NA,1,1,1,0,0,0,3,4,0
1086,"NC",0,2,1,0,1,0,0,4,2,2
1096,"NC",0,5,1,1,0,0,0,4,13,0
1104,"CA",0,3,1,1,0,0,0,3,10,1
1105,"MO",0,3,0,1,0,0,0,3,10,2
1112,"MA",1,3,1,1,0,0,0,4,18,2
1113,"CA",1,5,0,0,0,1,0,4,11,0
1115,"TX",1,3,1,0,1,0,0,4,12,3
1117,"NC",1,5,1,0,1,0,0,3,9,0
1119,"MA",0,7,0,1,0,0,0,4,14,0
1120,"MI",0,2,0,1,0,0,0,3,9,0
1121,"NY",0,1,0,1,0,0,0,2,14,0
1128,"FL",0,2,0,1,0,0,0,4,10,0
1131,"NJ",0,1,1,1,0,0,0,2,13,0
1141,"TN",1,6,1,1,0,0,0,3,9,0
1150,"ID",0,4,0,1,0,0,0,4,8,0
1156,"CA",0,3,1,1,0,0,0,2,12,2
1158,"MI",0,4,1,1,0,0,0,3,9,0
1160,"GA",0,7,1,1,0,0,0,2,10,0
1165,"NC",0,4,1,1,0,0,0,2,5,1
1168,"NV",0,6,1,1,0,0,0,4,12,0
1170,"CO",0,5,1,1,0,0,0,4,5,0
1174,"CO",1,5,1,1,0,0,0,3,8,0
1177,"AZ",0,4,0,1,0,0,0,4,11,2
1184,"OK",0,5,1,1,0,0,0,4,13,0
1186,"KY",0,6,0,1,0,0,0,4,13,0
1191,"FL",0,3,0,1,0,0,0,4,14,3
1197,"OH",0,6,1,1,0,0,0,4,9,0
1201,"UT",0,4,1,1,0,0,0,4,11,1
1205,"NM",0,7,0,1,0,0,0,3,6,0
1210,"GA",0,2,0,1,0,0,0,3,12,0
1213,"LA",0,5,0,1,0,0,0,4,14,0
1221,"TX",0,5,1,1,0,0,0,2,14,0
1231,"SD",0,4,0,1,0,0,0,4,17,2
1235,"IL",1,5,1,1,0,0,0,3,17,0
1236,"GA",0,5,0,1,0,0,0,4,16,0
1239,"NY",0,2,1,0,1,0,0,4,10,0
1241,"AZ",0,2,0,1,0,0,0,4,5,0
1244,"CO",0,2,0,1,0,0,0,4,14,2
1253,"NJ",0,4,0,1,0,0,0,2,17,0
1257,"TX",1,4,1,1,0,0,0,4,9,0
1261,"TX",0,6,1,1,0,0,0,4,10,0
1269,"WI",0,7,1,1,0,0,0,4,11,0
1273,"FL",0,4,0,1,0,0,0,4,14,0
1274,"MI",1,5,1,0,0,0,0,4,9,0
1286,"PA",1,4,1,1,0,0,0,2,14,0
1291,"TX",0,6,1,1,0,0,0,4,10,0
1304,"KY",0,6,0,1,0,0,0,3,13,0
1308,"GA",0,5,0,1,0,0,0,3,11,0
1310,"NV",1,6,0,1,0,0,0,4,18,0
1318,"NY",1,4,0,0,0,0,0,4,14,0
1324,"ID",1,1,1,1,0,0,0,2,6,0
1339,"IL",0,3,1,1,0,0,0,4,11,0
1340,"FL",0,5,0,1,0,0,0,3,7,0
1341,"FL",0,3,0,0,0,0,0,4,11,0
1346,"OH",0,5,1,1,0,0,0,4,10,0
1349,"NC",0,5,1,0,1,0,0,2,7,0
1354,"FL",0,2,1,1,0,0,0,4,11,1
1366,"NJ",0,5,1,1,0,0,0,1,9,0
1369,"WV",0,5,0,0,0,0,0,4,13,0
1370,"NJ",0,6,1,1,0,0,0,4,15,0
1383,"TN",1,2,1,1,0,0,0,2,9,0
1385,"NC",0,2,1,1,0,0,0,4,10,2
1386,"FL",0,3,0,1,0,0,0,4,12,1
1387,"FL",1,1,1,1,0,0,0,3,10,0
1396,"KY",0,2,0,0,0,0,0,3,11,1
1397,"IN",0,4,0,1,0,0,0,4,18,3
1401,"TX",0,3,0,0,0,1,0,4,15,0
1402,"PA",0,2,1,1,0,0,0,3,7,3
1408,"NJ",0,4,0,1,0,0,0,4,16,0
1411,"IN",1,2,1,1,0,0,0,4,11,0
1413,"NJ",1,5,1,1,0,0,0,2,14,0
1415,"KY",1,3,1,0,1,0,0,4,2,0
1420,"MA",1,5,1,1,0,0,0,2,10,2
1425,"OH",1,6,0,1,0,0,0,4,11,0
1426,"MA",1,3,1,1,0,0,0,4,6,1
1441,"VA",0,5,0,0,1,0,0,4,14,0
1447,"FL",0,4,0,1,0,0,0,4,15,0
1454,"WA",1,3,1,1,0,0,0,3,13,4
1458,"TN",0,4,1,0,1,0,0,4,8,0
1461,"TX",1,2,1,1,0,0,0,3,5,1
1464,"FL",1,7,1,1,0,0,0,4,13,0
1465,"IA",0,5,0,1,0,0,0,2,14,2
1466,"CT",1,7,0,0,0,0,0,4,17,0
1468,"OH",0,4,0,1,0,0,0,3,14,0
1471,"WI",0,3,1,1,0,0,0,3,11,2
1477,"CA",0,6,1,0,0,1,0,4,14,0
1479,"LA",0,4,1,0,1,0,0,4,15,1
1492,"VT",0,6,1,1,0,0,0,4,5,0
1493,"TN",1,5,1,1,0,0,0,3,14,0
1495,"IA",1,3,1,1,0,0,0,4,12,1
1497,"MO",0,4,0,1,0,0,0,4,17,0
1501,"MO",1,5,0,1,0,0,0,4,14,0
1505,"ID",1,2,0,1,0,0,0,4,14,0
1520,"NV",1,5,0,0,0,0,0,3,15,0
1522,"IL",0,2,0,1,0,0,0,4,13,1
1525,"NY",0,4,1,1,0,0,0,4,18,2
1528,"WI",0,3,0,1,0,0,0,4,15,3
1530,"PA",0,4,0,1,0,0,0,3,10,0
1533,"WA",1,4,1,1,0,0,0,4,14,1
1538,"ID",1,2,0,1,0,0,0,3,9,0
1548,"CA",1,5,1,1,0,0,0,3,12,0
1553,"GA",1,3,1,0,1,0,0,4,12,3
1555,"NJ",1,4,1,1,0,0,0,4,18,0
1559,"CA",0,7,0,1,0,0,0,4,13,0
1562,"NC",0,3,1,1,0,0,0,3,18,0
1565,"CA",0,2,0,0,0,1,0,4,5,0
1567,"VA",1,4,1,1,0,0,0,3,13,0
1573,"WI",1,3,0,1,0,0,0,3,7,1
1574,"CA",1,3,1,1,0,0,0,4,10,0
1576,"IL",0,7,1,1,0,0,0,3,7,0
1578,"TX",0,4,0,0,1,0,0,4,8,2
1580,"WI",0,3,1,1,0,0,0,4,16,2
1594,"WI",0,7,0,1,0,0,0,4,15,0
1599,"MN",0,5,0,1,0,0,0,4,6,0
1602,"MI",1,1,1,1,0,0,0,2,4,0
1612,"CT",0,3,1,1,0,0,0,4,18,2
1613,"MN",0,5,1,1,0,0,0,3,2,1
1629,"GA",0,6,0,1,0,0,0,4,10,0
1631,"CA",0,5,0,1,0,0,0,4,1,0
1632,"PA",0,5,1,0,1,0,0,4,16,1
1639,"NY",1,2,1,1,0,0,0,4,11,0
1640,"NY",1,4,1,1,0,0,0,3,13,0
1644,"MO",0,4,1,1,0,0,0,4,5,1
1647,"FL",1,3,1,1,0,0,0,4,14,2
1653,"MO",0,5,0,1,0,0,0,3,13,0
1657,"VA",0,6,0,1,0,0,0,4,14,0
1660,"SD",0,3,1,1,0,0,0,4,13,2
1664,"VA",1,3,0,0,1,0,0,2,12,1
1675,"PA",0,5,0,1,0,0,0,3,10,0
1688,"MD",1,2,1,0,0,1,0,4,14,4
1689,"MN",0,3,0,1,0,0,0,2,6,1
1691,"CO",0,2,0,1,0,0,0,4,10,0
1693,"MA",0,4,1,1,0,0,0,4,14,0
1700,"HI",1,5,1,1,0,0,0,3,12,0
1702,"PA",0,5,0,1,0,0,0,4,11,0
1704,"OH",1,5,0,1,0,0,0,3,12,1
1707,"TX",0,3,1,0,1,0,0,4,9,4
1715,"SC",0,2,1,1,0,0,0,3,5,0
1718,"FL",0,6,0,1,0,0,0,3,15,0
1730,"MI",1,4,1,1,0,0,0,2,13,0
1732,"TN",0,7,1,1,0,0,0,3,11,0
1735,"CA",0,4,1,1,0,0,0,4,2,0
1736,"CO",0,6,1,0,0,1,0,4,13,0
1746,"IL",0,5,0,1,0,0,0,4,13,0
1749,"SD",1,3,1,1,0,0,0,4,15,2
1754,"TX",1,4,1,1,0,0,0,1,4,0
1756,"WI",0,5,0,1,0,0,0,4,10,0
1763,"VA",0,2,1,0,0,1,0,3,10,2
1774,"IN",0,2,0,1,0,0,0,4,7,0
1778,"CA",1,4,1,1,0,0,0,4,11,0
1782,"WA",0,7,0,1,0,0,0,2,11,0
1788,"LA",0,2,1,1,0,0,0,3,12,0
1789,"MA",0,1,0,1,0,0,0,2,11,0
1791,"IL",1,3,0,0,1,0,0,3,5,0
1802,"TX",1,4,0,1,0,0,0,3,6,0
1817,"TX",NA,2,1,0,1,0,0,3,6,2
1820,"MI",1,4,1,1,0,0,0,3,15,1
1822,"CT",0,3,1,1,0,0,0,4,12,3
1832,"AL",0,2,1,0,1,0,0,4,5,2
1834,"TX",1,2,1,1,0,0,0,2,8,3
1840,"IN",0,6,1,1,0,0,0,4,18,0
1844,"WA",1,4,0,1,0,0,0,4,10,0
1845,"AZ",0,5,0,1,0,0,0,4,16,0
1856,"OK",0,6,1,1,0,0,0,2,8,2
1865,"FL",0,6,1,1,0,0,0,3,7,0
1866,"NC",1,6,1,1,0,0,0,4,11,0
1874,"CA",0,2,0,1,0,0,0,4,11,1
1875,"IN",1,3,0,1,0,0,0,3,6,0
1877,"MI",0,6,1,1,0,0,0,4,11,0
1880,"NY",0,7,1,1,0,0,0,4,12,0
1882,"PA",0,7,1,1,0,0,0,3,3,0
1885,"VA",0,6,1,1,0,0,0,3,7,0
1887,"IL",0,4,0,1,0,0,0,4,7,0
1888,"AZ",0,4,0,1,0,0,0,3,11,2
1891,"MD",1,1,1,0,1,0,0,3,1,0
1895,"NY",0,1,1,1,0,0,0,4,10,1
1901,"NJ",0,4,0,1,0,0,0,4,17,0
1902,"SC",1,4,0,1,0,0,0,3,2,0
1903,"GA",0,4,1,1,0,0,0,3,7,0
1909,"NY",NA,5,0,0,1,0,0,3,5,0
1912,"DE",1,7,1,0,0,0,0,4,8,0
1913,"FL",0,4,0,1,0,0,0,4,1,0
1914,"IN",0,7,1,1,0,0,0,3,7,0
1920,"NE",0,6,1,1,0,0,0,2,6,0
1921,"WA",0,5,1,1,0,0,0,3,9,0
1924,"TX",1,6,1,1,0,0,0,3,5,0
1925,"KY",0,4,1,1,0,0,0,2,3,0
1929,"PA",1,6,1,1,0,0,0,2,6,0
1940,"NY",0,7,1,1,0,0,0,4,9,0
1944,"PA",0,2,1,1,0,0,0,4,14,0
1945,"IL",NA,4,0,1,0,0,0,2,3,0
1946,"IN",0,7,0,1,0,0,0,4,11,0
1948,"IL",NA,3,0,1,0,0,0,3,5,0
1952,"OH",1,6,1,1,0,0,0,4,9,0
1954,"MN",1,6,1,1,0,0,0,3,3,0
1957,"IL",0,7,0,1,0,0,0,4,15,0
1962,"TN",0,4,1,1,0,0,0,3,4,0
1966,"TN",0,2,1,1,0,0,0,4,4,1
1970,"OH",0,6,0,1,0,0,0,3,10,0
1977,"NY",1,6,1,1,0,0,0,4,13,0
1983,"AR",0,6,0,0,0,0,0,3,7,0
1984,"MO",0,7,0,1,0,0,0,4,13,0
1993,"MI",0,2,1,1,0,0,0,4,8,0
1995,"WV",0,7,0,1,0,0,0,2,9,0
2000,"CO",0,4,1,1,0,0,0,4,14,1
2008,"NY",1,6,1,1,0,0,0,4,10,0
2024,"NC",0,5,1,1,0,0,0,4,17,0
2032,"UT",1,4,1,0,0,1,0,4,15,1
2043,"TX",0,2,1,1,0,0,0,4,10,0
2049,"VT",0,6,1,1,0,0,0,3,9,0
2050,"OK",0,2,1,0,0,0,0,2,6,2
2053,"VA",1,5,1,1,0,0,0,4,13,0
2055,"IN",0,4,0,1,0,0,0,2,1,0
2058,"CA",0,2,0,0,0,1,0,4,16,0
2062,"FL",1,2,1,0,1,0,0,3,8,2
2084,"IL",1,5,1,1,0,0,0,3,12,3
2088,"NC",1,2,1,1,0,0,0,4,6,0
2090,"GA",0,5,1,0,1,0,0,3,5,0
2095,"MD",0,7,0,1,0,0,0,4,15,0
2096,"VA",0,2,0,0,0,0,0,2,9,0
2101,"MA",1,2,1,0,0,1,0,2,16,3
2102,"IL",0,5,0,1,0,0,0,3,9,0
2103,"ME",0,5,1,1,0,0,0,4,5,0
